recipe_tag	coefficient
stuffedpeppers	-0.013883836949630881
summer	0.05601136310389699
sushi	-0.011881357847742722
sweet	0.14502004978575636
sweetandsalty	0.052598319753509364
sweetandsavory	-0.05435408861952316
sweettreat	0.008770714181497377
taco	-0.006750047634855147
tacos	-0.00021166920427011026
tangy	0.019733112705813634
tart	0.0491708528596407
tea	0.009817750243696521
tempura	-0.017729787750718068
tender	-0.011539318340585704
texmex	-0.004559309071579
thanksgiving	0.01500837238594803
toast	-0.009678341178540112
tomato	-0.016616136746253972
tomatoes	-0.005080945569382811
tomatosauce	-0.021253878757999396
tortilla	-0.0012476882107823998
tortillabowl	-0.006750047634855147
tortillachips	0.008369781046482701
tortillas	-0.009226345217816912
traditional	-0.005968512806518936
twisted	0.01059316200483311
udonnoodles	-0.017729787750718068
vanilla	0.028974206118110003
vanillaicecream	0.005120933762497308
vegan	-0.004503202581482232
vegetables	-0.009107697247252735
vegetarian	-0.04165581997176091
warm	-0.001047036062199145
whippedcream	0.005120933762497308
winter	0.03147240117254116
yeastdough	0.01059316200483311
